location,Year,Month,Value Column Name,Value,Last Updated,Source,ir_comments
"United States","2020","January","new_cases","7","","Native",""
"United States","2020","January","new_deaths",,"","Native",""
"United States","2020","January","% death","0","","Visual Measure",""
"United States","2020","February","new_cases","17","","Native",""
"United States","2020","February","new_deaths","1","","Native",""
"United States","2020","February","% death","0.058823529411764705","","Visual Measure",""
"United States","2020","March","new_cases","192276","","Native",""
"United States","2020","March","new_deaths","5368","","Native",""
"United States","2020","March","% death","0.027918200919511537","","Visual Measure",""
"United States","2020","April","new_cases","888719","","Native",""
"United States","2020","April","new_deaths","60862","","Native",""
"United States","2020","April","% death","0.06848283878256231","","Visual Measure",""
"United States","2020","May","new_cases","717698","","Native",""
"United States","2020","May","new_deaths","41600","","Native",""
"United States","2020","May","% death","0.057963098684962196","","Visual Measure",""
"United States","2020","June","new_cases","843456","","Native",""
"United States","2020","June","new_deaths","19766","","Native",""
"United States","2020","June","% death","0.023434536004249183","","Visual Measure",""
"United States","2020","July","new_cases","1925246","","Native",""
"United States","2020","July","new_deaths","26547","","Native",""
"United States","2020","July","% death","0.01378888723830617","","Visual Measure",""
"United States","2020","August","new_cases","1459475","","Native",""
"United States","2020","August","new_deaths","29655","","Native",""
"United States","2020","August","% death","0.020318950307473577","","Visual Measure",""
"United States","2020","September","new_cases","1208533","","Native",""
"United States","2020","September","new_deaths","23398","","Native",""
"United States","2020","September","% death","0.01936066288632582","","Visual Measure",""
"United States","2020","October","new_cases","1930191","","Native",""
"United States","2020","October","new_deaths","24532","","Native",""
"United States","2020","October","% death","0.012709623037305634","","Visual Measure",""
"United States","2020","November","new_cases","4504713","","Native",""
"United States","2020","November","new_deaths","39258","","Native",""
"United States","2020","November","% death","0.008714872623405753","","Visual Measure",""
"United States","2020","December","new_cases","6429031","","Native",""
"United States","2020","December","new_deaths","81091","","Native",""
"United States","2020","December","% death","0.012613253848052685","","Visual Measure",""
"United States","2021","January","new_cases","6147690","","Native",""
"United States","2021","January","new_deaths","97241","","Native",""
"United States","2021","January","% death","0.015817485917474693","","Visual Measure",""
"United States","2021","February","new_cases","2401691","","Native",""
"United States","2021","February","new_deaths","65617","","Native",""
"United States","2021","February","% death","0.027321166628013347","","Visual Measure",""
"United States","2021","March","new_cases","1813466","","Native",""
"United States","2021","March","new_deaths","37462","","Native",""
"United States","2021","March","% death","0.020657679824159923","","Visual Measure",""
"United States","2021","April","new_cases","1399870","","Native",""
"United States","2021","April","new_deaths","17003","","Native",""
"United States","2021","April","% death","0.012146127854729368","","Visual Measure",""
"India","2020","January","new_cases","1","","Native",""
"India","2020","January","new_deaths",,"","Native",""
"India","2020","January","% death","0","","Visual Measure",""
"India","2020","February","new_cases","2","","Native",""
"India","2020","February","new_deaths",,"","Native",""
"India","2020","February","% death","0","","Visual Measure",""
"India","2020","March","new_cases","1394","","Native",""
"India","2020","March","new_deaths","35","","Native",""
"India","2020","March","% death","0.025107604017216643","","Visual Measure",""
"India","2020","April","new_cases","33466","","Native",""
"India","2020","April","new_deaths","1119","","Native",""
"India","2020","April","% death","0.03343692105420427","","Visual Measure",""
"India","2020","May","new_cases","155746","","Native",""
"India","2020","May","new_deaths","4254","","Native",""
"India","2020","May","% death","0.027313703080656965","","Visual Measure",""
"India","2020","June","new_cases","394872","","Native",""
"India","2020","June","new_deaths","11992","","Native",""
"India","2020","June","% death","0.030369334873072792","","Visual Measure",""
"India","2020","July","new_cases","1110507","","Native",""
"India","2020","July","new_deaths","19111","","Native",""
"India","2020","July","% death","0.01720925667285303","","Visual Measure",""
"India","2020","August","new_cases","1995178","","Native",""
"India","2020","August","new_deaths","28777","","Native",""
"India","2020","August","% death","0.014423274514855316","","Visual Measure",""
"India","2020","September","new_cases","2621418","","Native",""
"India","2020","September","new_deaths","33390","","Native",""
"India","2020","September","% death","0.01273738106627787","","Visual Measure",""
"India","2020","October","new_cases","1871498","","Native",""
"India","2020","October","new_deaths","23433","","Native",""
"India","2020","October","% death","0.012520985862661888","","Visual Measure",""
"India","2020","November","new_cases","1278727","","Native",""
"India","2020","November","new_deaths","15510","","Native",""
"India","2020","November","% death","0.012129250418580354","","Visual Measure",""
"India","2020","December","new_cases","803865","","Native",""
"India","2020","December","new_deaths","11117","","Native",""
"India","2020","December","% death","0.01382943653474153","","Visual Measure",""
"India","2021","January","new_cases","490936","","Native",""
"India","2021","January","new_deaths","5654","","Native",""
"India","2021","January","% death","0.011516776117457266","","Visual Measure",""
"India","2021","February","new_cases","354631","","Native",""
"India","2021","February","new_deaths","2765","","Native",""
"India","2021","February","% death","0.007796836711962575","","Visual Measure",""
"India","2021","March","new_cases","1109424","","Native",""
"India","2021","March","new_deaths","5770","","Native",""
"India","2021","March","% death","0.005200897042068677","","Visual Measure",""
"India","2021","April","new_cases","3394465","","Native",""
"India","2021","April","new_deaths","19626","","Native",""
"India","2021","April","% death","0.005781765315005458","","Visual Measure",""
"Brazil","2020","January","new_cases",,"","Native",""
"Brazil","2020","January","new_deaths",,"","Native",""
"Brazil","2020","January","% death","","","Visual Measure",""
"Brazil","2020","February","new_cases","2","","Native",""
"Brazil","2020","February","new_deaths",,"","Native",""
"Brazil","2020","February","% death","0","","Visual Measure",""
"Brazil","2020","March","new_cases","5715","","Native",""
"Brazil","2020","March","new_deaths","201","","Native",""
"Brazil","2020","March","% death","0.03517060367454068","","Visual Measure",""
"Brazil","2020","April","new_cases","81470","","Native",""
"Brazil","2020","April","new_deaths","5805","","Native",""
"Brazil","2020","April","% death","0.07125322204492451","","Visual Measure",""
"Brazil","2020","May","new_cases","427662","","Native",""
"Brazil","2020","May","new_deaths","23308","","Native",""
"Brazil","2020","May","% death","0.0545009844222774","","Visual Measure",""
"Brazil","2020","June","new_cases","887192","","Native",""
"Brazil","2020","June","new_deaths","30280","","Native",""
"Brazil","2020","June","% death","0.03413015446487344","","Visual Measure",""
"Brazil","2020","July","new_cases","1260444","","Native",""
"Brazil","2020","July","new_deaths","32881","","Native",""
"Brazil","2020","July","% death","0.026086839240775473","","Visual Measure",""
"Brazil","2020","August","new_cases","1245787","","Native",""
"Brazil","2020","August","new_deaths","28906","","Native",""
"Brazil","2020","August","% death","0.023203003402668353","","Visual Measure",""
"Brazil","2020","September","new_cases","902663","","Native",""
