Rank,Name,Country,Source,Value Column Name,Value
All,All,All,,NetWorth,3017.6
All,All,All,,Age,3222
All,All,All,,Children,122
1,All,All,,NetWorth,
1,All,All,,Age,
1,All,All,,Children,
1,Jeff Bezos,All,,NetWorth,
1,Jeff Bezos,All,,Age,
1,Jeff Bezos,All,,Children,
1,Jeff Bezos,United States,,NetWorth,
1,Jeff Bezos,United States,,Age,
1,Jeff Bezos,United States,,Children,
1,Jeff Bezos,United States,,NetWorth,177
1,Jeff Bezos,United States,,Age,57
1,Jeff Bezos,United States,,Children,4
2,All,All,,NetWorth,
2,All,All,,Age,
2,All,All,,Children,
2,Elon Musk,All,,NetWorth,
2,Elon Musk,All,,Age,
2,Elon Musk,All,,Children,
2,Elon Musk,United States,,NetWorth,
2,Elon Musk,United States,,Age,
2,Elon Musk,United States,,Children,
2,Elon Musk,United States,,NetWorth,151
2,Elon Musk,United States,,Age,49
2,Elon Musk,United States,,Children,7
3,All,All,,NetWorth,
3,All,All,,Age,
3,All,All,,Children,
3,Bernard Arnault & family,All,,NetWorth,
3,Bernard Arnault & family,All,,Age,
3,Bernard Arnault & family,All,,Children,
3,Bernard Arnault & family,France,,NetWorth,
3,Bernard Arnault & family,France,,Age,
3,Bernard Arnault & family,France,,Children,
3,Bernard Arnault & family,France,,NetWorth,150
3,Bernard Arnault & family,France,,Age,72
3,Bernard Arnault & family,France,,Children,5
4,All,All,,NetWorth,
4,All,All,,Age,
4,All,All,,Children,
4,Bill Gates,All,,NetWorth,
4,Bill Gates,All,,Age,
4,Bill Gates,All,,Children,
4,Bill Gates,United States,,NetWorth,
4,Bill Gates,United States,,Age,
4,Bill Gates,United States,,Children,
4,Bill Gates,United States,,NetWorth,124
4,Bill Gates,United States,,Age,65
4,Bill Gates,United States,,Children,3
5,All,All,,NetWorth,
5,All,All,,Age,
5,All,All,,Children,
5,Mark Zuckerberg,All,,NetWorth,
5,Mark Zuckerberg,All,,Age,
5,Mark Zuckerberg,All,,Children,
5,Mark Zuckerberg,United States,,NetWorth,
5,Mark Zuckerberg,United States,,Age,
5,Mark Zuckerberg,United States,,Children,
5,Mark Zuckerberg,United States,,NetWorth,97
5,Mark Zuckerberg,United States,,Age,36
5,Mark Zuckerberg,United States,,Children,2
6,All,All,,NetWorth,
6,All,All,,Age,
6,All,All,,Children,
6,Warren Buffett,All,,NetWorth,
6,Warren Buffett,All,,Age,
6,Warren Buffett,All,,Children,
6,Warren Buffett,United States,,NetWorth,
6,Warren Buffett,United States,,Age,
6,Warren Buffett,United States,,Children,
6,Warren Buffett,United States,,NetWorth,96
6,Warren Buffett,United States,,Age,90
6,Warren Buffett,United States,,Children,3
7,All,All,,NetWorth,
7,All,All,,Age,
7,All,All,,Children,
7,Larry Ellison,All,,NetWorth,
7,Larry Ellison,All,,Age,
7,Larry Ellison,All,,Children,
7,Larry Ellison,United States,,NetWorth,
7,Larry Ellison,United States,,Age,
7,Larry Ellison,United States,,Children,
7,Larry Ellison,United States,,NetWorth,93
7,Larry Ellison,United States,,Age,76
7,Larry Ellison,United States,,Children,4
8,All,All,,NetWorth,
8,All,All,,Age,
8,All,All,,Children,
8,Larry Page,All,,NetWorth,
8,Larry Page,All,,Age,
8,Larry Page,All,,Children,
