Name,Sex,Sport,Team,Value Column Name,Value
All,All,All,All,Medals,382
All,All,All,All,Gold Medals,209
All,All,All,All,Silver Medals,104
All,All,All,All,Bronze Medals,69
"Michael Fred Phelps, II",All,All,All,Medals,
"Michael Fred Phelps, II",All,All,All,Gold Medals,
"Michael Fred Phelps, II",All,All,All,Silver Medals,
"Michael Fred Phelps, II",All,All,All,Bronze Medals,
"Michael Fred Phelps, II",M,All,All,Medals,
"Michael Fred Phelps, II",M,All,All,Gold Medals,
"Michael Fred Phelps, II",M,All,All,Silver Medals,
"Michael Fred Phelps, II",M,All,All,Bronze Medals,
"Michael Fred Phelps, II",M,Swimming,All,Medals,
"Michael Fred Phelps, II",M,Swimming,All,Gold Medals,
"Michael Fred Phelps, II",M,Swimming,All,Silver Medals,
"Michael Fred Phelps, II",M,Swimming,All,Bronze Medals,
"Michael Fred Phelps, II",M,Swimming,United States,Medals,28
"Michael Fred Phelps, II",M,Swimming,United States,Gold Medals,23
"Michael Fred Phelps, II",M,Swimming,United States,Silver Medals,3
"Michael Fred Phelps, II",M,Swimming,United States,Bronze Medals,2
Larysa Semenivna Latynina (Diriy-),All,All,All,Medals,
Larysa Semenivna Latynina (Diriy-),All,All,All,Gold Medals,
Larysa Semenivna Latynina (Diriy-),All,All,All,Silver Medals,
Larysa Semenivna Latynina (Diriy-),All,All,All,Bronze Medals,
Larysa Semenivna Latynina (Diriy-),F,All,All,Medals,
Larysa Semenivna Latynina (Diriy-),F,All,All,Gold Medals,
Larysa Semenivna Latynina (Diriy-),F,All,All,Silver Medals,
Larysa Semenivna Latynina (Diriy-),F,All,All,Bronze Medals,
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,All,Medals,
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,All,Gold Medals,
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,All,Silver Medals,
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,All,Bronze Medals,
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,Soviet Union,Medals,18
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,Soviet Union,Gold Medals,9
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,Soviet Union,Silver Medals,5
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,Soviet Union,Bronze Medals,4
Nikolay Yefimovich Andrianov,All,All,All,Medals,
Nikolay Yefimovich Andrianov,All,All,All,Gold Medals,
Nikolay Yefimovich Andrianov,All,All,All,Silver Medals,
Nikolay Yefimovich Andrianov,All,All,All,Bronze Medals,
