Index,Description,Group 1,Value Column Name,Value,
All,All,All,Revenues_2020,164590,
All,All,All,Revenues_2019,190877,
All,All,All,Revenues_V%,-0.72,
All,All,Revenues,Segment profit (loss)_2020,10779,
All,All,Revenues,Segment profit (loss)_2019,22728,
All,All,Revenues,Segment profit (loss)_V%,-1.46,
All,All,Profit margin,Profit Margin_2020,0.55,
All,All,Profit margin,Profit Margin_2019,0.825,
All,All,Profit margin,Profit Margin_V,-27.5,
1,All,All,Revenues_2020,,
1,All,All,Revenues_2019,,
1,All,All,Revenues_V%,,
1,All,Revenues,Segment profit (loss)_2020,,
1,All,Revenues,Segment profit (loss)_2019,,
1,All,Revenues,Segment profit (loss)_V%,,
1,All,Profit margin,Profit Margin_2020,,
1,All,Profit margin,Profit Margin_2019,,
1,All,Profit margin,Profit Margin_V,,
1,Power (GAAP),All,Revenues_2020,17589,
1,Power (GAAP),All,Revenues_2019,18625,
1,Power (GAAP),All,Revenues_V%,-0.06,
1,Power (GAAP),Revenues,Segment profit (loss)_2020,274,
1,Power (GAAP),Revenues,Segment profit (loss)_2019,291,
1,Power (GAAP),Revenues,Segment profit (loss)_V%,-0.06,
1,Power (GAAP),Profit margin,Profit Margin_2020,0.016,
1,Power (GAAP),Profit margin,Profit Margin_2019,0.016,
1,Power (GAAP),Profit margin,Profit Margin_V,0,
2,All,All,Revenues_2020,,
2,All,All,Revenues_2019,,
2,All,All,Revenues_V%,,
2,All,Revenues,Segment profit (loss)_2020,,
2,All,Revenues,Segment profit (loss)_2019,,
2,All,Revenues,Segment profit (loss)_V%,,
2,All,Profit margin,Profit Margin_2020,,
2,All,Profit margin,Profit Margin_2019,,
2,All,Profit margin,Profit Margin_V,,
2,Less: acquisitions,All,Revenues_2020,19,
2,Less: acquisitions,All,Revenues_2019,19,
2,Less: acquisitions,All,Revenues_V%,,
2,Less: acquisitions,Revenues,Segment profit (loss)_2020,-3,
2,Less: acquisitions,Revenues,Segment profit (loss)_2019,-2,
2,Less: acquisitions,Revenues,Segment profit (loss)_V%,,
2,Less: acquisitions,Profit margin,Profit Margin_2020,,
2,Less: acquisitions,Profit margin,Profit Margin_2019,,
2,Less: acquisitions,Profit margin,Profit Margin_V,,
3,All,All,Revenues_2020,,
3,All,All,Revenues_2019,,
3,All,All,Revenues_V%,,
3,All,Revenues,Segment profit (loss)_2020,,
3,All,Revenues,Segment profit (loss)_2019,,
3,All,Revenues,Segment profit (loss)_V%,,
3,All,Profit margin,Profit Margin_2020,,
3,All,Profit margin,Profit Margin_2019,,
3,All,Profit margin,Profit Margin_V,,
3,Less: business dispositions,All,Revenues_2020,15,
3,Less: business dispositions,All,Revenues_2019,104,
3,Less: business dispositions,All,Revenues_V%,,
3,Less: business dispositions,Revenues,Segment profit (loss)_2020,2,
3,Less: business dispositions,Revenues,Segment profit (loss)_2019,7,
3,Less: business dispositions,Revenues,Segment profit (loss)_V%,,
3,Less: business dispositions,Profit margin,Profit Margin_2020,,
3,Less: business dispositions,Profit margin,Profit Margin_2019,,
3,Less: business dispositions,Profit margin,Profit Margin_V,,
4,All,All,Revenues_2020,,
4,All,All,Revenues_2019,,
4,All,All,Revenues_V%,,
4,All,Revenues,Segment profit (loss)_2020,,
4,All,Revenues,Segment profit (loss)_2019,,
4,All,Revenues,Segment profit (loss)_V%,,
4,All,Profit margin,Profit Margin_2020,,
4,All,Profit margin,Profit Margin_2019,,
4,All,Profit margin,Profit Margin_V,,
4,Less: foreign currency effect,All,Revenues_2020,-64,
4,Less: foreign currency effect,All,Revenues_2019,0,
4,Less: foreign currency effect,All,Revenues_V%,,
4,Less: foreign currency effect,Revenues,Segment profit (loss)_2020,10,
4,Less: foreign currency effect,Revenues,Segment profit (loss)_2019,0,
4,Less: foreign currency effect,Revenues,Segment profit (loss)_V%,,
4,Less: foreign currency effect,Profit margin,Profit Margin_2020,,
4,Less: foreign currency effect,Profit margin,Profit Margin_2019,,
4,Less: foreign currency effect,Profit margin,Profit Margin_V,,
5,All,All,Revenues_2020,,
5,All,All,Revenues_2019,,
