Product Name,Product ID,Value Column Name,Value,,,,
All,All,Quantity,1845,,,,
All,All,Discount,157,,,,
All,All,Unit Price,43.87214146,,,,
All,All,Cost,92582.088,,,,
All,All,Total Discount,778,,,,
All,All,Gross Sales,80944.101,,,,
All,All,Sales,80166.101,,,,
All,All,Profit/ (Loss),-12415.987,,,,
All,All,% Profit/ (Loss),-0.15487827,,,,
Staples in misc. colors,All,Quantity,,,,,
Staples in misc. colors,All,Discount,,,,,
Staples in misc. colors,All,Unit Price,,,,,
Staples in misc. colors,All,Cost,,,,,
Staples in misc. colors,All,Total Discount,,,,,
Staples in misc. colors,All,Gross Sales,,,,,
Staples in misc. colors,All,Sales,,,,,
Staples in misc. colors,All,Profit/ (Loss),,,,,
Staples in misc. colors,All,% Profit/ (Loss),,,,,
Staples in misc. colors,OFF-AR-10003631,Quantity,14,,,,
Staples in misc. colors,OFF-AR-10003631,Discount,0,,,,
Staples in misc. colors,OFF-AR-10003631,Unit Price,3.872,,,,
Staples in misc. colors,OFF-AR-10003631,Cost,45.1992,,,,
Staples in misc. colors,OFF-AR-10003631,Total Discount,0,,,,
Staples in misc. colors,OFF-AR-10003631,Gross Sales,54.208,,,,
Staples in misc. colors,OFF-AR-10003631,Sales,54.208,,,,
Staples in misc. colors,OFF-AR-10003631,Profit/ (Loss),9.0088,,,,
Staples in misc. colors,OFF-AR-10003631,% Profit/ (Loss),0.166189492,,,,
Staples in misc. colors,OFF-AR-10004790,Quantity,2,,,,
Staples in misc. colors,OFF-AR-10004790,Discount,0,,,,
Staples in misc. colors,OFF-AR-10004790,Unit Price,9.576,,,,
Staples in misc. colors,OFF-AR-10004790,Cost,17.755,,,,
Staples in misc. colors,OFF-AR-10004790,Total Discount,0,,,,
Staples in misc. colors,OFF-AR-10004790,Gross Sales,19.152,,,,
Staples in misc. colors,OFF-AR-10004790,Sales,19.152,,,,
Staples in misc. colors,OFF-AR-10004790,Profit/ (Loss),1.397,,,,
Staples in misc. colors,OFF-AR-10004790,% Profit/ (Loss),0.072942774,,,,
Staples,All,Quantity,,,,,
Staples,All,Discount,,,,,
Staples,All,Unit Price,,,,,
Staples,All,Cost,,,,,
Staples,All,Total Discount,,,,,
Staples,All,Gross Sales,,,,,
Staples,All,Sales,,,,,
Staples,All,Profit/ (Loss),,,,,
Staples,All,% Profit/ (Loss),,,,,
Staples,OFF-FA-10003021,Quantity,8,,,,
Staples,OFF-FA-10003021,Discount,0,,,,
Staples,OFF-FA-10003021,Unit Price,1.504,,,,
Staples,OFF-FA-10003021,Cost,9.576,,,,
Staples,OFF-FA-10003021,Total Discount,0,,,,
Staples,OFF-FA-10003021,Gross Sales,12.032,,,,
Staples,OFF-FA-10003021,Sales,12.032,,,,
Staples,OFF-FA-10003021,Profit/ (Loss),2.456,,,,
Staples,OFF-FA-10003021,% Profit/ (Loss),0.20412234,,,,
Staples,OFF-FA-10002975,Quantity,5,,,,
Staples,OFF-FA-10002975,Discount,0,,,,
Staples,OFF-FA-10002975,Unit Price,3.024,,,,
Staples,OFF-FA-10002975,Cost,10.006,,,,
Staples,OFF-FA-10002975,Total Discount,0,,,,
Staples,OFF-FA-10002975,Gross Sales,15.12,,,,
Staples,OFF-FA-10002975,Sales,15.12,,,,
Staples,OFF-FA-10002975,Profit/ (Loss),5.114,,,,
Staples,OFF-FA-10002975,% Profit/ (Loss),0.338227513,,,,
Staples,OFF-FA-10003112,Quantity,2,,,,
Staples,OFF-FA-10003112,Discount,0,,,,
Staples,OFF-FA-10003112,Unit Price,6.312,,,,
Staples,OFF-FA-10003112,Cost,8.479,,,,
Staples,OFF-FA-10003112,Total Discount,0,,,,
Staples,OFF-FA-10003112,Gross Sales,12.624,,,,
Staples,OFF-FA-10003112,Sales,12.624,,,,
Staples,OFF-FA-10003112,Profit/ (Loss),4.145,,,,
Staples,OFF-FA-10003112,% Profit/ (Loss),0.328342839,,,,
Flat Face Poster Frame,All,Quantity,,,,,
Flat Face Poster Frame,All,Discount,,,,,
Flat Face Poster Frame,All,Unit Price,,,,,
Flat Face Poster Frame,All,Cost,,,,,
Flat Face Poster Frame,All,Total Discount,,,,,
Flat Face Poster Frame,All,Gross Sales,,,,,
Flat Face Poster Frame,All,Sales,,,,,
Flat Face Poster Frame,All,Profit/ (Loss),,,,,
Flat Face Poster Frame,All,% Profit/ (Loss),,,,,
Flat Face Poster Frame,FUR-FU-10004973,Quantity,14,,,,
Flat Face Poster Frame,FUR-FU-10004973,Discount,3,,,,
Flat Face Poster Frame,FUR-FU-10004973,Unit Price,10.536,,,,
Flat Face Poster Frame,FUR-FU-10004973,Cost,151.1808,,,,
Flat Face Poster Frame,FUR-FU-10004973,Total Discount,42,,,,
Flat Face Poster Frame,FUR-FU-10004973,Gross Sales,147.504,,,,
Flat Face Poster Frame,FUR-FU-10004973,Sales,105.504,,,,
Flat Face Poster Frame,FUR-FU-10004973,Profit/ (Loss),-45.6768,,,,
Flat Face Poster Frame,FUR-FU-10004973,% Profit/ (Loss),-0.432939035,,,,
"Global Stack Chair without Arms, Black",All,Quantity,,,,,
"Global Stack Chair without Arms, Black",All,Discount,,,,,
"Global Stack Chair without Arms, Black",All,Unit Price,,,,,
"Global Stack Chair without Arms, Black",All,Cost,,,,,
"Global Stack Chair without Arms, Black",All,Total Discount,,,,,
"Global Stack Chair without Arms, Black",All,Gross Sales,,,,,
"Global Stack Chair without Arms, Black",All,Sales,,,,,
