Region,Country,Month,Value Column Name,Value
All,All,January,PY in millions,13186000
All,All,January,PL in Millions,13772000
All,All,January,AC In  millions,13356000
All,All,January,AC In  millions - PY in millions,170000
All,All,January,(AC In  millions - PY in millions)%,0.012892462
All,All,January,AC In  millions - PL in Millions,-416000
All,All,January,(AC In  millions - PL in Millions)%,-0.030206216
All,All,January,PL in Millions - PY in millions,586000
All,All,January,(PL in Millions - PY in millions)%,0.044441074
All,All,October,PY in millions,15766000
All,All,October,PL in Millions,15458000
All,All,October,AC In  millions,15324000
All,All,October,AC In  millions - PY in millions,-442000
All,All,October,(AC In  millions - PY in millions)%,-0.028035012
All,All,October,AC In  millions - PL in Millions,-134000
All,All,October,(AC In  millions - PL in Millions)%,-0.008668651
All,All,October,PL in Millions - PY in millions,-308000
All,All,October,(PL in Millions - PY in millions)%,-0.01953571
All,All,November,PY in millions,3350000
All,All,November,PL in Millions,3330000
All,All,November,AC In  millions,3243000
All,All,November,AC In  millions - PY in millions,-107000
All,All,November,(AC In  millions - PY in millions)%,-0.031940299
All,All,November,AC In  millions - PL in Millions,-87000
All,All,November,(AC In  millions - PL in Millions)%,-0.026126126
All,All,November,PL in Millions - PY in millions,-20000
All,All,November,(PL in Millions - PY in millions)%,-0.005970149
Europe,All,January,PY in millions,
Europe,All,January,PL in Millions,
Europe,All,January,AC In  millions,
Europe,All,January,AC In  millions - PY in millions,
Europe,All,January,(AC In  millions - PY in millions)%,
Europe,All,January,AC In  millions - PL in Millions,
Europe,All,January,(AC In  millions - PL in Millions)%,
Europe,All,January,PL in Millions - PY in millions,
Europe,All,January,(PL in Millions - PY in millions)%,
Europe,All,October,PY in millions,
Europe,All,October,PL in Millions,
Europe,All,October,AC In  millions,
Europe,All,October,AC In  millions - PY in millions,
Europe,All,October,(AC In  millions - PY in millions)%,
Europe,All,October,AC In  millions - PL in Millions,
Europe,All,October,(AC In  millions - PL in Millions)%,
Europe,All,October,PL in Millions - PY in millions,
Europe,All,October,(PL in Millions - PY in millions)%,
Europe,All,November,PY in millions,
Europe,All,November,PL in Millions,
Europe,All,November,AC In  millions,
Europe,All,November,AC In  millions - PY in millions,
Europe,All,November,(AC In  millions - PY in millions)%,
Europe,All,November,AC In  millions - PL in Millions,
Europe,All,November,(AC In  millions - PL in Millions)%,
Europe,All,November,PL in Millions - PY in millions,
Europe,All,November,(PL in Millions - PY in millions)%,
Europe,Austria,January,PY in millions,1600000
Europe,Austria,January,PL in Millions,2021000
