Account Level 2,Year,Value Column Name,Value
All,2012,PL,1258
All,2012,FC,
All,2012,AC,1185
All,2012,AC - PL,-73
All,2012,(AC - PL)%,-0.058028617
All,2012,AC - FC,1185
All,2012,(AC - FC)%,
All,2012,FC - PL,-1258
All,2012,(FC - PL)%,-1
All,2013,PL,1528
All,2013,FC,
All,2013,AC,822
All,2013,AC - PL,-706
All,2013,(AC - PL)%,-0.462041885
All,2013,AC - FC,822
All,2013,(AC - FC)%,
All,2013,FC - PL,-1528
All,2013,(FC - PL)%,-1
All,2014,PL,860
All,2014,FC,
All,2014,AC,889
All,2014,AC - PL,29
All,2014,(AC - PL)%,0.03372093
All,2014,AC - FC,889
All,2014,(AC - FC)%,
All,2014,FC - PL,-860
All,2014,(FC - PL)%,-1
All,2015,PL,1555
All,2015,FC,1541
All,2015,AC,
All,2015,AC - PL,-1555
All,2015,(AC - PL)%,-1
All,2015,AC - FC,-1541
All,2015,(AC - FC)%,-1
All,2015,FC - PL,-14
All,2015,(FC - PL)%,-0.009003215
Software revenue,2012,PL,467
Software revenue,2012,FC,
Software revenue,2012,AC,453
Software revenue,2012,AC - PL,-14
Software revenue,2012,(AC - PL)%,-0.029978587
Software revenue,2012,AC - FC,453
Software revenue,2012,(AC - FC)%,
Software revenue,2012,FC - PL,-467
Software revenue,2012,(FC - PL)%,-1
Software revenue,2013,PL,543
Software revenue,2013,FC,
Software revenue,2013,AC,265
Software revenue,2013,AC - PL,-278
Software revenue,2013,(AC - PL)%,-0.511970534
Software revenue,2013,AC - FC,265
Software revenue,2013,(AC - FC)%,
Software revenue,2013,FC - PL,-543
Software revenue,2013,(FC - PL)%,-1
Software revenue,2014,PL,273
Software revenue,2014,FC,
Software revenue,2014,AC,278
Software revenue,2014,AC - PL,5
Software revenue,2014,(AC - PL)%,0.018315018
Software revenue,2014,AC - FC,278
Software revenue,2014,(AC - FC)%,
Software revenue,2014,FC - PL,-273
Software revenue,2014,(FC - PL)%,-1
Software revenue,2015,PL,561
Software revenue,2015,FC,560
Software revenue,2015,AC,
Software revenue,2015,AC - PL,-561
Software revenue,2015,(AC - PL)%,-1
Software revenue,2015,AC - FC,-560
Software revenue,2015,(AC - FC)%,-1
Software revenue,2015,FC - PL,-1
Software revenue,2015,(FC - PL)%,-0.001782531
Support revenue,2012,PL,99
Support revenue,2012,FC,
Support revenue,2012,AC,87
Support revenue,2012,AC - PL,-12
Support revenue,2012,(AC - PL)%,-0.121212121
Support revenue,2012,AC - FC,87
Support revenue,2012,(AC - FC)%,
Support revenue,2012,FC - PL,-99
Support revenue,2012,(FC - PL)%,-1
Support revenue,2013,PL,132
Support revenue,2013,FC,
Support revenue,2013,AC,87
Support revenue,2013,AC - PL,-45
Support revenue,2013,(AC - PL)%,-0.340909091
Support revenue,2013,AC - FC,87
