Account Level 2,Value Column Name,Value,
All,PY,215,
All,AC,220,
All,AC - PY,5,
All,(AC - PY)%,0.023255814,
Software revenue,PY,265,
Software revenue,AC,278,
Software revenue,AC - PY,13,
Software revenue,(AC - PY)%,0.049056604,
Support revenue,PY,87,
Support revenue,AC,90,
Support revenue,AC - PY,3,
Support revenue,(AC - PY)%,0.034482759,
Consulting revenue,PY,121,
Consulting revenue,AC,128,
Consulting revenue,AC - PY,7,
Consulting revenue,(AC - PY)%,0.05785124,
Revenue,PY,473,
Revenue,AC,496,
Revenue,AC - PY,23,
Revenue,(AC - PY)%,0.048625793,
Cost of sales,PY,-122,
Cost of sales,AC,-128,
Cost of sales,AC - PY,-6,
Cost of sales,(AC - PY)%,0.049180328,
Gross Profit,PY,351,
Gross Profit,AC,368,
Gross Profit,AC - PY,17,
Gross Profit,(AC - PY)%,0.048433048,
Research and development expenses,PY,-78,
Research and development expenses,AC,-91,
Research and development expenses,AC - PY,-13,
Research and development expenses,(AC - PY)%,0.166666667,
Selling and general administrative expenses,PY,-97,
Selling and general administrative expenses,AC,-102,
Selling and general administrative expenses,AC - PY,-5,
Selling and general administrative expenses,(AC - PY)%,0.051546392,
Other operating income,PY,33,
Other operating income,AC,27,
Other operating income,AC - PY,-6,
Other operating income,(AC - PY)%,-0.181818182,
Other operating expenses,PY,-11,
Other operating expenses,AC,-10,
Other operating expenses,AC - PY,1,
Other operating expenses,(AC - PY)%,-0.090909091,
"Other financial income,net",PY,34,
"Other financial income,net",AC,30,
"Other financial income,net",AC - PY,-4,
"Other financial income,net",(AC - PY)%,-0.117647059,
Income from continuing operations before tax,PY,232,
Income from continuing operations before tax,AC,222,
Income from continuing operations before tax,AC - PY,-10,
Income from continuing operations before tax,(AC - PY)%,-0.043103448,
Income tax expenses,PY,-23,
Income tax expenses,AC,-27,
Income tax expenses,AC - PY,-4,
Income tax expenses,(AC - PY)%,0.173913043,
Income from continuing operations,PY,209,
Income from continuing operations,AC,195,
Income from continuing operations,AC - PY,-14,
Income from continuing operations,(AC - PY)%,-0.066985646,
Income from discontinued operations,PY,6,
Income from discontinued operations,AC,25,
Income from discontinued operations,AC - PY,19,
Income from discontinued operations,(AC - PY)%,3.166666667,
Net income,PY,215,
Net income,AC,220,
Net income,AC - PY,5,
Net income,(AC - PY)%,0.023255814,
