Column2,Year,Value Column Name,Value
All,All,Lebron,34241
All,2003,Lebron,647
All,2004,Lebron,1715
All,2005,Lebron,2317
All,2006,Lebron,2421
All,2007,Lebron,2088
All,2008,Lebron,2364
All,2009,Lebron,2423
All,2010,Lebron,2106
All,2011,Lebron,1413
All,2012,Lebron,2313
All,2013,Lebron,2038
All,2014,Lebron,2056
All,2015,Lebron,1756
All,2016,Lebron,1919
All,2017,Lebron,2212
All,2018,Lebron,2178
All,2019,Lebron,1381
All,2020,Lebron,894
ATLANTA HAWKS,All,Lebron,1572
ATLANTA HAWKS,2003,Lebron,23
ATLANTA HAWKS,2004,Lebron,123
ATLANTA HAWKS,2005,Lebron,87
ATLANTA HAWKS,2006,Lebron,130
ATLANTA HAWKS,2007,Lebron,23
ATLANTA HAWKS,2008,Lebron,150
ATLANTA HAWKS,2009,Lebron,110
ATLANTA HAWKS,2010,Lebron,49
ATLANTA HAWKS,2011,Lebron,111
ATLANTA HAWKS,2012,Lebron,130
ATLANTA HAWKS,2013,Lebron,90
ATLANTA HAWKS,2014,Lebron,110
ATLANTA HAWKS,2015,Lebron,37
ATLANTA HAWKS,2016,Lebron,86
ATLANTA HAWKS,2017,Lebron,172
ATLANTA HAWKS,2018,Lebron,48
ATLANTA HAWKS,2019,Lebron,93
ATLANTA HAWKS,2020,Lebron,
BOSTON CELTICS,All,Lebron,1537
BOSTON CELTICS,2003,Lebron,47
BOSTON CELTICS,2004,Lebron,94
BOSTON CELTICS,2005,Lebron,68
BOSTON CELTICS,2006,Lebron,117
BOSTON CELTICS,2007,Lebron,70
BOSTON CELTICS,2008,Lebron,81
BOSTON CELTICS,2009,Lebron,126
BOSTON CELTICS,2010,Lebron,174
BOSTON CELTICS,2011,Lebron,75
BOSTON CELTICS,2012,Lebron,85
BOSTON CELTICS,2013,Lebron,116
BOSTON CELTICS,2014,Lebron,70
BOSTON CELTICS,2015,Lebron,65
BOSTON CELTICS,2016,Lebron,111
BOSTON CELTICS,2017,Lebron,93
BOSTON CELTICS,2018,Lebron,43
BOSTON CELTICS,2019,Lebron,58
BOSTON CELTICS,2020,Lebron,44
BROOKLYN NETS,All,Lebron,685
BROOKLYN NETS,2003,Lebron,
BROOKLYN NETS,2004,Lebron,
BROOKLYN NETS,2005,Lebron,
BROOKLYN NETS,2006,Lebron,
BROOKLYN NETS,2007,Lebron,
BROOKLYN NETS,2008,Lebron,
BROOKLYN NETS,2009,Lebron,
BROOKLYN NETS,2010,Lebron,
BROOKLYN NETS,2011,Lebron,
BROOKLYN NETS,2012,Lebron,41
BROOKLYN NETS,2013,Lebron,50
BROOKLYN NETS,2014,Lebron,124
BROOKLYN NETS,2015,Lebron,66
BROOKLYN NETS,2016,Lebron,90
BROOKLYN NETS,2017,Lebron,129
BROOKLYN NETS,2018,Lebron,104
BROOKLYN NETS,2019,Lebron,25
BROOKLYN NETS,2020,Lebron,56
CHARLOTTE HORNETS,All,Lebron,1419
CHARLOTTE HORNETS,2003,Lebron,
CHARLOTTE HORNETS,2004,Lebron,44
CHARLOTTE HORNETS,2005,Lebron,55
CHARLOTTE HORNETS,2006,Lebron,140
CHARLOTTE HORNETS,2007,Lebron,55
CHARLOTTE HORNETS,2008,Lebron,140
CHARLOTTE HORNETS,2009,Lebron,60
CHARLOTTE HORNETS,2010,Lebron,83
CHARLOTTE HORNETS,2011,Lebron,115
CHARLOTTE HORNETS,2012,Lebron,62
CHARLOTTE HORNETS,2013,Lebron,119
CHARLOTTE HORNETS,2014,Lebron,122
CHARLOTTE HORNETS,2015,Lebron,50
CHARLOTTE HORNETS,2016,Lebron,172
CHARLOTTE HORNETS,2017,Lebron,90
CHARLOTTE HORNETS,2018,Lebron,65
CHARLOTTE HORNETS,2019,Lebron,47
CHARLOTTE HORNETS,2020,Lebron,
CHICAGO BULLS,All,Lebron,1633
CHICAGO BULLS,2003,Lebron,50
CHICAGO BULLS,2004,Lebron,80
CHICAGO BULLS,2005,Lebron,122
CHICAGO BULLS,2006,Lebron,122
CHICAGO BULLS,2007,Lebron,68
CHICAGO BULLS,2008,Lebron,225
CHICAGO BULLS,2009,Lebron,92
CHICAGO BULLS,2010,Lebron,29
CHICAGO BULLS,2011,Lebron,55
CHICAGO BULLS,2012,Lebron,127
CHICAGO BULLS,2013,Lebron,150
CHICAGO BULLS,2014,Lebron,53
CHICAGO BULLS,2015,Lebron,102
CHICAGO BULLS,2016,Lebron,111
CHICAGO BULLS,2017,Lebron,148
CHICAGO BULLS,2018,Lebron,33
CHICAGO BULLS,2019,Lebron,66
CHICAGO BULLS,2020,Lebron,
CLEVELAND CAVALIERS,All,Lebron,422
CLEVELAND CAVALIERS,2003,Lebron,
CLEVELAND CAVALIERS,2004,Lebron,
CLEVELAND CAVALIERS,2005,Lebron,
CLEVELAND CAVALIERS,2006,Lebron,
CLEVELAND CAVALIERS,2007,Lebron,
CLEVELAND CAVALIERS,2008,Lebron,
CLEVELAND CAVALIERS,2009,Lebron,
CLEVELAND CAVALIERS,2010,Lebron,59
CLEVELAND CAVALIERS,2011,Lebron,51
