GEO (Labels),Level ,Value Column Name,Value
All,All Levels,Unemployment,3037.1
All,Levels 0-2,Unemployment,4606.3
All,Levels 3 - 4,Unemployment,3071.3
All,Levels 5 - 8,Unemployment,1951.6
"Mardin, Batman, Sirnak, Siirt",All Levels,Unemployment,33.4
"Mardin, Batman, Sirnak, Siirt",Levels 0-2,Unemployment,34.2
"Mardin, Batman, Sirnak, Siirt",Levels 3 - 4,Unemployment,34.9
"Mardin, Batman, Sirnak, Siirt",Levels 5 - 8,Unemployment,29.9
"Van, Mus, Bitlis, Hakkari",All Levels,Unemployment,23.6
"Van, Mus, Bitlis, Hakkari",Levels 0-2,Unemployment,22.6
"Van, Mus, Bitlis, Hakkari",Levels 3 - 4,Unemployment,29.9
"Van, Mus, Bitlis, Hakkari",Levels 5 - 8,Unemployment,22.1
Ciudad de Melilla,All Levels,Unemployment,23.7
Ciudad de Melilla,Levels 0-2,Unemployment,42.8
Ciudad de Melilla,Levels 3 - 4,Unemployment,21.3
Ciudad de Melilla,Levels 5 - 8,Unemployment,7.3
Canarias,All Levels,Unemployment,22.6
Canarias,Levels 0-2,Unemployment,29.1
Canarias,Levels 3 - 4,Unemployment,21.1
Canarias,Levels 5 - 8,Unemployment,17.9
Ciudad de Ceuta,All Levels,Unemployment,24.5
Ciudad de Ceuta,Levels 0-2,Unemployment,36.4
Ciudad de Ceuta,Levels 3 - 4,Unemployment,19.4
Ciudad de Ceuta,Levels 5 - 8,Unemployment,10.1
Andalucía,All Levels,Unemployment,22.3
Andalucía,Levels 0-2,Unemployment,29.1
Andalucía,Levels 3 - 4,Unemployment,22
Andalucía,Levels 5 - 8,Unemployment,14.6
Mayotte,All Levels,Unemployment,27.8
Mayotte,Levels 0-2,Unemployment,39.4
Mayotte,Levels 3 - 4,Unemployment,19.9
Mayotte,Levels 5 - 8,Unemployment,
Dytiki Ellada,All Levels,Unemployment,21.6
Dytiki Ellada,Levels 0-2,Unemployment,19.8
Dytiki Ellada,Levels 3 - 4,Unemployment,24.4
Dytiki Ellada,Levels 5 - 8,Unemployment,19.1
Extremadura,All Levels,Unemployment,21.8
Extremadura,Levels 0-2,Unemployment,27.3
Extremadura,Levels 3 - 4,Unemployment,22.6
Extremadura,Levels 5 - 8,Unemployment,12.8
Sur (ES),All Levels,Unemployment,21.4
Sur (ES),Levels 0-2,Unemployment,27.7
Sur (ES),Levels 3 - 4,Unemployment,21.4
Sur (ES),Levels 5 - 8,Unemployment,14
Güneydogu Anadolu,All Levels,Unemployment,20.6
Güneydogu Anadolu,Levels 0-2,Unemployment,20.8
Güneydogu Anadolu,Levels 3 - 4,Unemployment,22.6
Güneydogu Anadolu,Levels 5 - 8,Unemployment,18.5
"Sanliurfa, Diyarbakir",All Levels,Unemployment,20
"Sanliurfa, Diyarbakir",Levels 0-2,Unemployment,20.5
"Sanliurfa, Diyarbakir",Levels 3 - 4,Unemployment,22.5
"Sanliurfa, Diyarbakir",Levels 5 - 8,Unemployment,16.1
Calabria,All Levels,Unemployment,20.1
Calabria,Levels 0-2,Unemployment,25.8
Calabria,Levels 3 - 4,Unemployment,18.9
Calabria,Levels 5 - 8,Unemployment,13.1
Sterea Ellada,All Levels,Unemployment,19.3
Sterea Ellada,Levels 0-2,Unemployment,16.4
Sterea Ellada,Levels 3 - 4,Unemployment,19.8
Sterea Ellada,Levels 5 - 8,Unemployment,20.8
Dytiki Makedonia,All Levels,Unemployment,19.7
Dytiki Makedonia,Levels 0-2,Unemployment,16
Dytiki Makedonia,Levels 3 - 4,Unemployment,23.1
Dytiki Makedonia,Levels 5 - 8,Unemployment,16.4
Kentriki Makedonia,All Levels,Unemployment,18.4
Kentriki Makedonia,Levels 0-2,Unemployment,21.8
Kentriki Makedonia,Levels 3 - 4,Unemployment,21.4
Kentriki Makedonia,Levels 5 - 8,Unemployment,12.9
Východné Slovensko,All Levels,Unemployment,10.6
Východné Slovensko,Levels 0-2,Unemployment,49.3
Východné Slovensko,Levels 3 - 4,Unemployment,9.2
Východné Slovensko,Levels 5 - 8,Unemployment,4.5
Voreia Ellada,All Levels,Unemployment,18.2
Voreia Ellada,Levels 0-2,Unemployment,19.5
Voreia Ellada,Levels 3 - 4,Unemployment,21.1
Voreia Ellada,Levels 5 - 8,Unemployment,13.5
Ortadogu Anadolu,All Levels,Unemployment,17.4
Ortadogu Anadolu,Levels 0-2,Unemployment,17.3
Ortadogu Anadolu,Levels 3 - 4,Unemployment,20.2
Ortadogu Anadolu,Levels 5 - 8,Unemployment,15.3
Castilla-la Mancha,All Levels,Unemployment,17.7
Castilla-la Mancha,Levels 0-2,Unemployment,22.3
Castilla-la Mancha,Levels 3 - 4,Unemployment,17.9
Castilla-la Mancha,Levels 5 - 8,Unemployment,11.6
Ipeiros,All Levels,Unemployment,17.9
Ipeiros,Levels 0-2,Unemployment,17
Ipeiros,Levels 3 - 4,Unemployment,23.6
Ipeiros,Levels 5 - 8,Unemployment,10.8
Guadeloupe,All Levels,Unemployment,17.5
Guadeloupe,Levels 0-2,Unemployment,24.7
Guadeloupe,Levels 3 - 4,Unemployment,17.1
Guadeloupe,Levels 5 - 8,Unemployment,9.9
Campania,All Levels,Unemployment,18
Campania,Levels 0-2,Unemployment,24.4
Campania,Levels 3 - 4,Unemployment,16.4
Campania,Levels 5 - 8,Unemployment,9.9
Izmir,All Levels,Unemployment,17.1
Izmir,Levels 0-2,Unemployment,17.2
Izmir,Levels 3 - 4,Unemployment,19
Izmir,Levels 5 - 8,Unemployment,15.4
Notio Aigaio,All Levels,Unemployment,16.7
Notio Aigaio,Levels 0-2,Unemployment,22.1
Notio Aigaio,Levels 3 - 4,Unemployment,15.1
Notio Aigaio,Levels 5 - 8,Unemployment,14.8
"Anatoliki Makedonia, Thraki",All Levels,Unemployment,17.2
"Anatoliki Makedonia, Thraki",Levels 0-2,Unemployment,17.3
"Anatoliki Makedonia, Thraki",Levels 3 - 4,Unemployment,17.7
"Anatoliki Makedonia, Thraki",Levels 5 - 8,Unemployment,16.3
Kentriki Ellada,All Levels,Unemployment,17.3
Kentriki Ellada,Levels 0-2,Unemployment,16.5
Kentriki Ellada,Levels 3 - 4,Unemployment,18.9
Kentriki Ellada,Levels 5 - 8,Unemployment,15.3
La Réunion,All Levels,Unemployment,17.4
La Réunion,Levels 0-2,Unemployment,21.9
La Réunion,Levels 3 - 4,Unemployment,20.7
La Réunion,Levels 5 - 8,Unemployment,8
RUP FR - Régions ultrapériphériques françaises,All Levels,Unemployment,17.3
RUP FR - Régions ultrapériphériques françaises,Levels 0-2,Unemployment,24.4
RUP FR - Régions ultrapériphériques françaises,Levels 3 - 4,Unemployment,18.6
RUP FR - Régions ultrapériphériques françaises,Levels 5 - 8,Unemployment,7.4
Sicilia,All Levels,Unemployment,17.9
Sicilia,Levels 0-2,Unemployment,23.3
Sicilia,Levels 3 - 4,Unemployment,17.3
Sicilia,Levels 5 - 8,Unemployment,9.2
North Macedonia,All Levels,Unemployment,16.4
North Macedonia,Levels 0-2,Unemployment,21.4
North Macedonia,Levels 3 - 4,Unemployment,16.2
North Macedonia,Levels 5 - 8,Unemployment,13.7
Severna Makedonija,All Levels,Unemployment,16.4
Severna Makedonija,Levels 0-2,Unemployment,21.4
Severna Makedonija,Levels 3 - 4,Unemployment,16.2
Severna Makedonija,Levels 5 - 8,Unemployment,13.7
Thessalia,All Levels,Unemployment,16.9
Thessalia,Levels 0-2,Unemployment,17.5
Thessalia,Levels 3 - 4,Unemployment,18.1
Thessalia,Levels 5 - 8,Unemployment,14.9
"Nisia Aigaiou, Kriti",All Levels,Unemployment,17
"Nisia Aigaiou, Kriti",Levels 0-2,Unemployment,18.1
"Nisia Aigaiou, Kriti",Levels 3 - 4,Unemployment,18.5
"Nisia Aigaiou, Kriti",Levels 5 - 8,Unemployment,13.7
Severozapaden,All Levels,Unemployment,13
Severozapaden,Levels 0-2,Unemployment,43.9
Severozapaden,Levels 3 - 4,Unemployment,10
Severozapaden,Levels 5 - 8,Unemployment,
Kriti,All Levels,Unemployment,17.3
Kriti,Levels 0-2,Unemployment,16
Kriti,Levels 3 - 4,Unemployment,20.4
